Date,AAPL,AMZN,BRK-B,GOOG,GOOGL,JNJ,MSFT,TSLA,UNH,XOM
11/19/2020,97.39358521,155.8749542,215.467453,79.01950836,73.66130829,132.0926514,193.8554382,120.4428406,282.909729,39.47706223
11/20/2020,97.99306488,155.0001678,218.2819519,80.08024597,73.51416016,133.0565033,194.9543915,121.6113129,280.3553467,39.77409363
11/23/2020,98.90705872,153.8616486,220.3615265,81.18161011,72.78495026,133.6495819,195.5579987,123.3356552,278.0772705,40.1920166
11/24/2020,101.2514114,150.5577087,224.6063385,83.87252808,70.55808258,135.8047791,193.2182617,128.353302,278.4570313,41.66635513
11/25/2020,107.2661285,147.7950287,231.5785522,86.11491394,70.21637726,139.9844208,194.5693817,139.9349365,280.6542969,43.00400925
11/27/2020,111.4403763,147.2611389,235.2486877,89.19880676,72.43932724,142.5846252,195.3597717,146.5991821,281.2444153,44.59751129
11/30/2020,117.0156021,144.4004517,231.8408356,92.95822144,68.27177429,144.9208374,199.2625122,158.828598,279.8674927,46.8735466
12/1/2020,123.6806488,147.5191345,235.8833923,94.8853302,70.47533035,144.986908,202.4778748,180.1735535,285.0168762,49.12322235
12/2/2020,124.2207642,147.1605682,241.3796692,93.34183502,70.99461746,145.6615143,206.781662,189.3857574,286.9186401,50.11802292
12/3/2020,123.5324402,142.9054718,240.3465576,95.43412781,68.40713882,147.0834961,205.5847778,204.7979584,292.9375916,52.49731445
12/4/2020,123.3204346,140.6689758,241.3309326,96.30247498,67.92593384,147.7634735,204.0098724,212.3544464,297.6703186,53.53580093
12/7/2020,124.2782135,135.6390686,236.6944275,98.1111908,67.07341385,149.0320892,200.1928406,224.7687073,302.7411499,54.99020386
12/8/2020,129.9111023,135.7614136,234.6441956,99.74855042,66.48429489,149.7847443,197.108551,236.0460663,305.8875427,56.51667023
12/9/2020,124.543335,131.7313614,231.6792908,96.00081635,68.45657349,149.2367401,200.6233368,226.0305023,302.6357117,56.17881393
12/10/2020,126.2627258,128.6953583,229.3005371,97.6781311,67.15149307,150.0679779,194.8965607,229.5663147,303.7237854,57.94721603
12/11/2020,130.359726,125.586113,225.8611145,100.690773,65.20900345,151.6164093,189.92276,237.1500397,307.0874023,60.32815552
12/14/2020,131.8373718,128.161438,225.6320496,102.3217163,63.76761627,152.1738586,188.2595825,237.7059479,305.3392639,62.14787674
12/15/2020,133.9956818,130.4379578,227.6399536,102.6019516,64.3628273,151.7220306,187.6131439,238.8466492,304.3269043,62.82965088
12/16/2020,134.9236908,129.5355148,226.3879395,102.064888,64.28889847,151.5844269,189.3706665,239.3602295,303.1643677,62.58336258
12/17/2020,133.7446594,130.2380524,230.6112366,100.001503,64.55103683,150.5203552,192.9279022,235.66008,301.3362427,60.67122269
12/18/2020,133.5420532,130.8078232,231.9320374,99.89544678,65.10200882,151.1003571,193.1921234,241.1686554,304.220459,60.84634399
12/21/2020,132.2864075,132.8523712,232.6836853,101.732666,65.35124207,153.4988251,179.4886475,261.8132324,322.2456055,62.01694489
